"","dist","ad","ks","cvm","aic","aicc","bic","delta","weight"
"1","weibull",13.5631322817898,0.14431401242754,2.45596705721379,954.609310618361,954.641396179858,962.473800993257,99.303,0
"2","llogis",5.07804963519078,0.0941130304699088,0.660623782856954,875.077868544406,875.109954105903,882.942358919302,19.771,0
"3","lnorm",5.68517303878838,0.0915033780848395,1.00313340565363,863.651215600369,863.683301161866,871.515705975265,8.345,0.015
"4","gamma",35.2199196829704,0.257963052460119,7.27051640018838,1115.67956590374,1115.71165146523,1123.54405627863,260.373,0
"5","lgumbel",2.01227180501559,0.056643673746658,0.253631178852776,855.306598240156,855.338683801653,863.171088615052,0,0.985
