,�..Sampling.apparatus,Device.Opening.Dimension..cm.,Min.particle.size.um,Max.particle.size.um,Sampling.location,System,Single.Measurement.conc....m3.,Minimum.conc....m3.,Mean.conc....m3.,Median.conc....m3.,Maximum.conc....m3.,Standard.deviation.conc....m3.,Probability.distribution,Reference,x1M,x2M,CF,particles.m3.corrected,particles.m3.corrected_mean,particles.m3.corrected_median,particles.single.median.m3,particles.m3.master,particle.L.master,Sample.Type
197,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,3.27,NA,3.27,3.12,NA,1.36,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,122.1716934,122.1716934,116.5674873,122.1716934,122.1716934,0.122171693,sample
198,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,3.77,NA,3.77,3.77,NA,3.13,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,140.8523805,140.8523805,140.8523805,140.8523805,140.8523805,0.14085238,sample
199,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,4.8,NA,4.8,3.54,NA,2.44,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,179.3345959,179.3345959,132.2592644,179.3345959,179.3345959,0.179334596,sample
200,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,13.7,NA,13.7,16.2,NA,5.06,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,511.8508257,511.8508257,605.254261,511.8508257,511.8508257,0.511850826,sample
201,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, Germany",River,17.1,NA,17.1,14.8,NA,4.14,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,638.8794977,638.8794977,552.9483372,638.8794977,638.8794977,0.638879498,sample
202,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, The Netherlands",River,5.66,NA,5.66,5.66,NA,5.64,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,211.4653776,211.4653776,211.4653776,211.4653776,211.4653776,0.211465378,sample
203,"Manta net: 18 cm high, 300 μm mesh size.",18,300,5000,"Rhine River, The Netherlands",River,1.59,NA,1.59,1.51,NA,0.232,Normal: mean and SD,Mani et al. (2015),300,5000,37.36137414,59.40458488,59.40458488,56.41567495,59.40458488,59.40458488,0.059404585,sample
204,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.8,1.2,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,32.29377725,32.29377725,32.29377725,0.032293777,sample
205,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.9,5.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,36.3304994,36.3304994,36.3304994,0.036330499,sample
206,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,3.7,7.7,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,149.3587198,149.3587198,149.3587198,0.14935872,sample
207,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.7,1.1,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,28.25705509,28.25705509,28.25705509,0.028257055,sample
208,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.6,2.6,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,24.22033293,24.22033293,24.22033293,0.024220333,sample
209,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,5.5,17.3,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,222.0197186,222.0197186,222.0197186,0.222019719,sample
210,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,7.1,13.5,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,286.6072731,286.6072731,286.6072731,0.286607273,sample
211,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.3,0.5,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,12.11016647,12.11016647,12.11016647,0.012110166,sample
212,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.8,7.3,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,72.6609988,72.6609988,72.6609988,0.072660999,sample
213,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,7,7.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,282.5705509,282.5705509,282.5705509,0.282570551,sample
214,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.5,3.8,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,60.55083234,60.55083234,60.55083234,0.060550832,sample
215,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,3.4,7.5,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,137.2485533,137.2485533,137.2485533,0.137248553,sample
216,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,4,9.7,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,161.4688862,161.4688862,161.4688862,0.161468886,sample
217,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,12.2,21.5,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,492.480103,492.480103,492.480103,0.492480103,sample
218,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,10.2,11.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,411.7456599,411.7456599,411.7456599,0.41174566,sample
219,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.3,32.3,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,52.47738803,52.47738803,52.47738803,0.052477388,sample
220,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,0.5,4.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,20.18361078,20.18361078,20.18361078,0.020183611,sample
221,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,2.6,4.1,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,104.9547761,104.9547761,104.9547761,0.104954776,sample
222,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.7,3.1,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,68.62427665,68.62427665,68.62427665,0.068624277,sample
223,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,2.1,6.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,84.77116527,84.77116527,84.77116527,0.084771165,sample
224,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1,2,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,40.36722156,40.36722156,40.36722156,0.040367222,sample
225,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.2,1.9,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,48.44066587,48.44066587,48.44066587,0.048440666,sample
226,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,2.6,5.4,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,104.9547761,104.9547761,104.9547761,0.104954776,sample
227,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,2.6,7.3,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,104.9547761,104.9547761,104.9547761,0.104954776,sample
228,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,1.2,3.1,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,48.44066587,48.44066587,48.44066587,0.048440666,sample
229,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,10.3,23.2,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,415.782382,415.782382,415.782382,0.415782382,sample
230,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,4.1,31.1,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,165.5056084,165.5056084,165.5056084,0.165505608,sample
231,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,3.3,4.6,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,133.2118311,133.2118311,133.2118311,0.133211831,sample
232,"Neuston net: 40 cm high, 333 μm mesh size. The net skimmed the upper 20-35 cm of the water.",40,333,5000,"Great Lakes tributaries, USA",River,NA,NA,NA,2,12,NA,Uniform: median-max,Baldwin et al. (2016),333,5000,40.36722156,NA,NA,80.73444312,80.73444312,80.73444312,0.080734443,sample
233,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.00285,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.115046581,NA,NA,0.115046581,0.115046581,0.000115047,sample
234,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.00768,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.310020262,NA,NA,0.310020262,0.310020262,0.00031002,sample
235,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.0106,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.427892549,NA,NA,0.427892549,0.427892549,0.000427893,sample
236,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.0138,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.557067658,NA,NA,0.557067658,0.557067658,0.000557068,sample
237,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.0297,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.19890648,NA,NA,1.19890648,1.19890648,0.001198906,sample
238,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.0335,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.352301922,NA,NA,1.352301922,1.352301922,0.001352302,sample
239,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Huron, USA",Lake,0.0409,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.651019362,NA,NA,1.651019362,1.651019362,0.001651019,sample
240,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,0.00798,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.322130428,NA,NA,0.322130428,0.322130428,0.00032213,sample
241,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,0.0164,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.662022434,NA,NA,0.662022434,0.662022434,0.000662022,sample
242,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,0.0221,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,0.892115596,NA,NA,0.892115596,0.892115596,0.000892116,sample
243,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,0.043,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.735790527,NA,NA,1.735790527,1.735790527,0.001735791,sample
244,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Superior, USA",Lake,0.079,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,3.189010503,NA,NA,3.189010503,3.189010503,0.003189011,sample
245,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.0293,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.182759592,NA,NA,1.182759592,1.182759592,0.00118276,sample
246,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.0379,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,1.529917697,NA,NA,1.529917697,1.529917697,0.001529918,sample
247,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.0532,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,2.147536187,NA,NA,2.147536187,2.147536187,0.002147536,sample
248,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.057,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,2.300931629,NA,NA,2.300931629,2.300931629,0.002300932,sample
249,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.0705,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,2.84588912,NA,NA,2.84588912,2.84588912,0.002845889,sample
250,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,0.357,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,14.4110981,NA,NA,14.4110981,14.4110981,0.014411098,sample
251,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,1.76,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,71.04630994,NA,NA,71.04630994,71.04630994,0.07104631,sample
252,"Manta trawl: 16 cm high, 333 μm mesh size.",16,333,5000,"Lake Erie, USA",Lake,2.91,NA,NA,NA,NA,NA,NA,Eriksen et al. (2013),333,5000,40.36722156,117.4686147,NA,NA,117.4686147,117.4686147,0.117468615,sample
253,Neuston net: 333 μm mesh size.,NA,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,2.8,NA,NA,0.5,Normal: mean and SD,Hoellein et al. (2017),333,5000,40.36722156,NA,113.0282204,NA,NA,113.0282204,0.11302822,sample
254,Neuston net: 333 μm mesh size.,NA,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,5,NA,NA,0.9,Normal: mean and SD,Hoellein et al. (2017),333,5000,40.36722156,NA,201.8361078,NA,NA,201.8361078,0.201836108,sample
255,Neuston net: 333 μm mesh size.,NA,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,4.7,NA,NA,3.2,Normal: mean and SD,Hoellein et al. (2017),333,5000,40.36722156,NA,189.7259413,NA,NA,189.7259413,0.189725941,sample
256,Neuston net: 333 μm mesh size.,NA,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,6.1,NA,NA,3.1,Normal: mean and SD,Hoellein et al. (2017),333,5000,40.36722156,NA,246.2400515,NA,NA,246.2400515,0.246240052,sample
257,Neuston net: 333 μm mesh size.,NA,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,6.4,NA,NA,0.9,Normal: mean and SD,Hoellein et al. (2017),333,5000,40.36722156,NA,258.350218,NA,NA,258.350218,0.258350218,sample
258,"Neuston nets: 41-42 cm high, 333 μm mesh size.",41.5,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,1.94,NA,NA,0.81,Normal: mean and SD,McCormick et al. (2014),333,5000,40.36722156,NA,78.31240982,NA,NA,78.31240982,0.07831241,sample
259,"Neuston nets: 41-42 cm high, 333 μm mesh size.",41.5,333,5000,"North Shore Channel, Lake Michigan, USA",River,NA,NA,17.9,NA,NA,11.1,Normal: mean and SD,McCormick et al. (2014),333,5000,40.36722156,NA,722.5732659,NA,NA,722.5732659,0.722573266,sample
260,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1120,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,692.0589118,NA,NA,692.0589118,692.0589118,0.692058912,sample
261,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,552,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,341.0861779,NA,NA,341.0861779,341.0861779,0.341086178,sample
262,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,559,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,345.4115461,NA,NA,345.4115461,345.4115461,0.345411546,sample
263,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,518,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,320.0772467,NA,NA,320.0772467,320.0772467,0.320077247,sample
264,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,517,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,319.4593369,NA,NA,319.4593369,319.4593369,0.319459337,sample
265,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,5410,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,3342.891708,NA,NA,3342.891708,3342.891708,3.342891708,sample
266,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,563,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,347.8831851,NA,NA,347.8831851,347.8831851,0.347883185,sample
267,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1050,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,648.8052298,NA,NA,648.8052298,648.8052298,0.64880523,sample
268,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,632,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,390.5189573,NA,NA,390.5189573,390.5189573,0.390518957,sample
269,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,518,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,320.0772467,NA,NA,320.0772467,320.0772467,0.320077247,sample
270,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,493,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,304.6295031,NA,NA,304.6295031,304.6295031,0.304629503,sample
271,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,536,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,331.1996221,NA,NA,331.1996221,331.1996221,0.331199622,sample
272,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,526,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,325.0205246,NA,NA,325.0205246,325.0205246,0.325020525,sample
273,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1080,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,667.342522,NA,NA,667.342522,667.342522,0.667342522,sample
274,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,538,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,332.4354415,NA,NA,332.4354415,332.4354415,0.332435442,sample
275,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1710,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,1056.62566,NA,NA,1056.62566,1056.62566,1.05662566,sample
276,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,2140,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,1322.326849,NA,NA,1322.326849,1322.326849,1.322326849,sample
277,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,3200,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,1977.311176,NA,NA,1977.311176,1977.311176,1.977311176,sample
278,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1710,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,1056.62566,NA,NA,1056.62566,1056.62566,1.05662566,sample
279,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1110,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,685.8798143,NA,NA,685.8798143,685.8798143,0.685879814,sample
280,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1090,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,673.5216195,NA,NA,673.5216195,673.5216195,0.673521619,sample
281,"Bottles of 1.85 L, filtration at 450 nm.",NA,0.45,5000,"Snake and Columbia Rivers, USA",River,1120,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),0.45,5000,0.617909743,692.0589118,NA,NA,692.0589118,692.0589118,0.692058912,sample
282,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.246,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,4.285119452,NA,NA,4.285119452,4.285119452,0.004285119,sample
283,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,2.28,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,39.71574126,NA,NA,39.71574126,39.71574126,0.039715741,sample
284,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.98,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,17.07080107,NA,NA,17.07080107,17.07080107,0.017070801,sample
285,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.832,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,14.49276172,NA,NA,14.49276172,14.49276172,0.014492762,sample
286,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.556,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.685066729,NA,NA,9.685066729,9.685066729,0.009685067,sample
287,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.525,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.145072001,NA,NA,9.145072001,9.145072001,0.009145072,sample
288,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.54,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,9.406359773,NA,NA,9.406359773,9.406359773,0.00940636,sample
289,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,3.5,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,60.96714667,NA,NA,60.96714667,60.96714667,0.060967147,sample
290,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.44,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,25.08362606,NA,NA,25.08362606,25.08362606,0.025083626,sample
291,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,4.79,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,83.43789502,NA,NA,83.43789502,83.43789502,0.083437895,sample
292,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,0.611,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,10.64312189,NA,NA,10.64312189,10.64312189,0.010643122,sample
293,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.29,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,22.47074835,NA,NA,22.47074835,22.47074835,0.022470748,sample
294,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,9.49,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,165.3080634,NA,NA,165.3080634,165.3080634,0.165308063,sample
295,Plankton net: 100 μm mesh size,NA,100,5000,"Snake and Columbia Rivers, USA",River,1.39,NA,NA,NA,NA,NA,NA,Kapp and Yeatman (2018),100,5000,17.41918476,24.21266682,NA,NA,24.21266682,24.21266682,0.024212667,sample
