"","Location","Num.Samples","Num.Exceedances.HC5","Percent.Exceedances.HC5","Num.Exceedances.HC5.5.Percent.CI","Percent.Exceedances.HC5.5.Percent.CI","p.value","conf.low","conf.high"
"1","Bay",30,1,3.333,30,100,0.599,0.001,0.172
"2","Sanctuary",22,2,9.091,18,81.818,0.14,0.011,0.292
