"","Type","effect","Freq","plot","category","effect.1","Endpoints","plot_f"
"79","Stress","N",62,"Lvl1","stress","N",63,"Lvl1"
"80","Alimentary, Excretory","Y",35,"Lvl1","alimentary.excretory","Y",97,"Lvl1"
"81","Behavioral, Sensory, Neurological","Y",28,"Lvl1","behavioral.sense.neuro","Y",135,"Lvl1"
"82","Circulatory, Respiratory","Y",35,"Lvl1","circulatory.respiratory","Y",52,"Lvl1"
"83","Community","Y",14,"Lvl1","community","Y",6,"Lvl1"
"84","Fitness","Y",26,"Lvl1","fitness","Y",701,"Lvl1"
"85","Immune","Y",32,"Lvl1","immune","Y",97,"Lvl1"
"86","Metabolism","Y",34,"Lvl1","metabolism","Y",623,"Lvl1"
"87","Microbiome","Y",37,"Lvl1","microbiome","Y",27,"Lvl1"
"88","Stress","Y",38,"Lvl1","stress","Y",39,"Lvl1"
"89","Adult","N",70,"Life.stage","Adult","N",1791,"Life.stage"
"90","Early","N",70,"Life.stage","Early","N",1223,"Life.stage"
"91","Juvenile","N",77,"Life.stage","Juvenile","N",850,"Life.stage"
"92","Adult","Y",30,"Life.stage","Adult","Y",750,"Life.stage"
"93","Early","Y",30,"Life.stage","Early","Y",529,"Life.stage"
"94","Juvenile","Y",23,"Life.stage","Juvenile","Y",253,"Life.stage"
"95","In Vitro","N",26,"Invivo.invivo","invitro","N",11,"Invivo.invivo"
"96","In Vivo","N",71,"Invivo.invivo","invivo","N",4187,"Invivo.invivo"
"97","In Vitro","Y",74,"Invivo.invivo","invitro","Y",31,"Invivo.invivo"
"98","In Vivo","Y",29,"Invivo.invivo","invivo","Y",1746,"Invivo.invivo"
"99","Co-Parental Exposure","N",60,"Exposure.route","coparental.exposure","N",6,"Exposure.route"
"100","Food","N",83,"Exposure.route","food","N",579,"Exposure.route"
"101","Maternal Exposure","N",100,"Exposure.route","maternal.exposure","N",10,"Exposure.route"
"102","Media","N",44,"Exposure.route","media","N",15,"Exposure.route"
"103","Paternal Exposure","N",100,"Exposure.route","paternal.exposure","N",10,"Exposure.route"
"104","Sediment","N",82,"Exposure.route","sediment","N",430,"Exposure.route"
"105","Water","N",68,"Exposure.route","water","N",3113,"Exposure.route"
"106","Co-Parental Exposure","Y",40,"Exposure.route","coparental.exposure","Y",4,"Exposure.route"
"107","Food","Y",17,"Exposure.route","food","Y",118,"Exposure.route"
"108","Maternal Exposure","Y",0,"Exposure.route","maternal.exposure","Y",0,"Exposure.route"
"109","Media","Y",56,"Exposure.route","media","Y",19,"Exposure.route"
"110","Paternal Exposure","Y",0,"Exposure.route","paternal.exposure","Y",0,"Exposure.route"
"111","Sediment","Y",18,"Exposure.route","sediment","Y",97,"Exposure.route"
"112","Water","Y",32,"Exposure.route","water","Y",1445,"Exposure.route"
