sampleID,specific.location,System,general.location,latitude,longitude,particles.L.blank.corrected,particles.fish.blank.corrected,particles.kg.blank.corrected,sample.matrix,sample.matrix.specific,Sampling.apparatus,Min.particle.size.um,Max.particle.size.um
SB10,NA,Estuary,South Bay,37.6534,-122.2281,6.14,NA,NA,water,surface water,1-L grab,100,5000
SB11,NA,Estuary,South Bay,37.5983,-122.2502,3.35,NA,NA,water,surface water,1-L grab,100,5000
SB11,NA,Estuary,South Bay,37.5863,-122.2022,0,NA,NA,water,surface water,1-L grab,100,5000
SB12,NA,Estuary,South Bay,37.5829,-122.2708,1,NA,NA,water,surface water,1-L grab,100,5000
SB13,NA,Estuary,South Bay,37.5701,-122.2129,0,NA,NA,water,surface water,1-L grab,100,5000
SB13,NA,Estuary,South Bay,37.5649,-122.2227,9.93,NA,NA,water,surface water,1-L grab,100,5000
SPB2,NA,Estuary,SPB,38.0513,-122.4218,1,NA,NA,water,surface water,1-L grab,100,5000
SPB2,NA,Estuary,SPB,38.0598,-122.4244,1,NA,NA,water,surface water,1-L grab,100,5000
SPB3,NA,Estuary,SPB,38.6405,-122.3716,5.09,NA,NA,water,surface water,1-L grab,100,5000
SPB3,NA,Estuary,SPB,38.0239,-122.3682,5.24,NA,NA,water,surface water,1-L grab,100,5000
SUB1,NA,Estuary,SUB,38.1071,-122.0563,2.76,NA,NA,water,surface water,1-L grab,100,5000
SUB1,NA,Estuary,SUB,38.1079,-122.057,4.43,NA,NA,water,surface water,1-L grab,100,5000
