"","dist","ad","ks","cvm","aic","aicc","bic","delta","weight"
"1","weibull",9.71401439094046,0.12032521313608,1.65138809538052,-1255.43770313699,-1255.4056175755,-1247.5732127621,77.078,0
"2","llogis",3.95493379686582,0.0939802976912132,0.452965124847381,-1313.2309731773,-1313.19888761581,-1305.36648280241,19.285,0
"3","lnorm",3.97302538062473,0.086071666549928,0.592346738727268,-1332.51577289468,-1332.48368733319,-1324.65128251979,0,0.788
"4","gamma",Inf,0.241058035669618,7.08757312121972,-1023.34834960735,-1023.31626404586,-1015.48385923246,309.167,0
"5","lgumbel",1.99884402800478,0.0622185593595114,0.209969050719134,-1329.89346458644,-1329.86137902494,-1322.02897421154,2.622,0.212
