"","dist","ad","ks","cvm","aic","aicc","bic","delta","weight"
"1","weibull",1.56975525017675,0.125738520241088,0.237248543749103,478.696683825756,478.941581784939,482.599171262919,15.379,0
"2","llogis",0.268840740690607,0.0736626188307798,0.0351313976056019,463.317645329939,463.562543289123,467.220132767102,0,0.682
"3","lnorm",0.436115459630898,0.0965271778947293,0.0557485486580087,464.92446307821,465.169361037393,468.826950515373,1.607,0.305
"4","gamma",1.00833487644858,0.108540122871348,0.155612466751182,473.64751423314,473.892412192324,477.550001670303,10.33,0.004
"5","lgumbel",1.36218139463347,0.150966187049757,0.196147647586961,472.145468478409,472.390366437593,476.047955915572,8.828,0.008
